Period,T1 Interest Due,T1 Interest Paid,T1 Interest Shortfall,T1 Principal Paid,T1 Balance,T2 Interest Due,T2 Interest Paid,T2 Interest Shortfall,T2 Principal Paid,T2 Balance,Reserve Balance
57,0.0,0,0,0,0.0,0.0,0,0,0,0.0,6190739.107232042
58,0.0,0,0,0,0.0,0.0,0,0,0,0.0,6604673.911375726
59,0.0,0,0,0,0.0,0.0,0,0,0,0.0,6976433.994721237
60,0.0,0,0,0,0.0,0.0,0,0,0,0.0,7312186.318853314
61,0.0,0,0,0,0.0,0.0,0,0,0,0.0,7599327.87938232
62,0.0,0,0,0,0.0,0.0,0,0,0,0.0,7843629.518570228
63,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8047762.654913075
64,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8226053.3925431445
65,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8370430.555216333
66,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8492115.221851485
67,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8591786.129998822
68,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8673164.753308136
69,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8732888.445728825
70,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8783955.674739184
71,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8815895.437642643
72,0.0,0,0,0,0.0,0.0,0,0,0,0.0,8816156.791962894
